"","V1","V2","V3","V4"
"39857","casent0902052","174.203355704698","123.801342281879","77.5597315436242"
"39858","casent0902071","125.856929955291","98.8628912071535","77.2324888226528"
"39859","casent0902096","73.3552631578947","68.890350877193","69.2616959064327"
"39860","casent0902145","84.9838120104439","76.820365535248","71.7133159268929"
"39861","casent0902146","165.111334002006","126.618856569709","99.0100300902708"
"39862","casent0902103","120.051136363636","94.9131493506493","82.2905844155844"
"39863","casent0902108","169.495737704918","130.530491803279","89.752131147541"
"39864","casent0902132","146.915129151292","116.008118081181","87.5535055350554"
"39865","casent0902171","168.253813300793","131.082367297132","99.503355704698"
"39866","casent0902163","154.295157894737","120.426947368421","90.8850526315789"
"39867","casent0902156","101.235020661157","84.1642561983471","75.5996900826446"
"39868","casent0902150","121.918338108883","112.019340974212","104.462750716332"
"39869","casent0902229","97.3070077864294","83.492213570634","75.7041156840934"
"39870","casent0902232","158.197549770291","124.089586523737","89.9326186830015"
"39871","casent0902172","101.355648535565","87.7226539151225","86.1613867304244"
"39872","casent0902210","180.839506172839","137.517489711934","73.3425925925926"
"39873","casent0902211","122.882898550725","98.0846376811594","78.8342028985507"
"39874","casent0902175","97.1704819277108","80.0198795180723","76.4144578313253"
"39875","casent0902224","128.283983140148","100.402528977871","77.5463645943098"
"39876","casent0902217","173.895334174023","135.2578814628","76.3467843631778"
"39877","casent0902186","118.037477954145","89.060405643739","69.2266313932981"
"39878","casent0902292","124.045945945946","80.3963963963964","55.1522522522523"
"39879","casent0902263","216.711805555556","185.461805555556","107.130208333333"
"39880","casent0902265","176.488343558282","156.478527607362","106.543558282209"
"39881","casent0902252","175.045020463847","140.795816280127","96.0050022737608"
"39882","casent0902254","184.571287128713","154.243234323432","104.773927392739"
"39883","casent0902288","70.2748706152962","65.54399079931","65.6802760207016"
"39884","casent0902270","130.004153686397","95.690031152648","66.7590861889927"
"39885","casent0902282","129.141283214517","95.5767984445885","68.0466623460791"
"39886","casent0902278","157.344649763644","120.537172324882","77.7425870219166"
"39887","casent0902306","119.01231884058","91.3731884057971","75.3086956521739"
"39888","casent0902335","198.579177057357","163.686408977556","106.793017456359"
"39889","casent0902336","170.972746331237","130.104821802935","84.1460517120894"
"39890","casent0902358","136.61875","101.5025","79.3725"
"39891","casent0902359","163.117291414752","134.769649334946","86.5773881499395"
"39892","casent0902364","132.856451612903","107.537096774194","77.9365591397849"
"39893","casent0902312","122.481668773704","82.9007585335019","72.9310998735778"
"39894","casent0902313","147.181693363844","100.6352402746","81.516704805492"
"39895","casent0902372","169.382608695652","132.83768115942","74.4386473429952"
"39896","casent0902349","187.074814814815","136.144444444444","82.4688888888889"
"39897","casent0902375","182.937675070028","145.623949579832","77.28081232493"
"39898","casent0902409","124.112619808307","97.7963258785942","87.0151757188498"
"39899","casent0902412","166.472382522671","120.877164056059","76.6826051112943"
"39900","casent0902401","111.848734177215","97.8879746835443","81.8518987341772"
"39901","casent0902426","118.690303907381","88.0419681620839","60.6584659913169"
"39902","casent0902430","164.313182527301","135.753510140406","89.4368174726989"
"39903","casent0902415","131.201478743068","95.7541589648798","69.9611829944547"
"39904","casent0902416","139.863228699552","110.862107623318","76.5891255605381"
"39905","casent0902391","142.333743842365","110.987992610837","69.4858374384236"
"39906","casent0902418","129.784902597403","96.9383116883117","82.1469155844156"
"39907","casent0902432","126.385269121813","109.391879131256","97.0472143531634"
"39908","casent0902388","131.51316839585","107.928571428571","98.1013567438148"
"39909","casent0902425","180.819294456443","137.347732181425","84.7897768178546"
"39910","casent0902458","188.8","140.494505494505","80.7868131868132"
"39911","casent0902460","161.812265331665","117.061326658323","79.4055068836045"
"39912","casent0902462","140.539257455873","95.5873402312842","83.8301886792453"
"39913","casent0902484","89.278384279476","79.9874454148472","77.4830786026201"
"39914","casent0902438","118.770800627943","94.7142857142857","82.3485086342229"
"39915","casent0902463","130.691358024691","92.3494363929147","76.2034353193773"
"39916","casent0902455","147.570621468927","124.713983050847","95.7796610169491"
"39917","casent0902474","139.440269209198","120.890072910824","113.975883342681"
"39918","casent0902481","89.6278511404562","79.624849939976","81.4651860744298"
"39919","casent0902453","171.972375690608","140.970165745856","95.6574585635359"
"39920","casent0902483","175.841277407054","142.058627264061","96.4747378455672"
"39921","casent0902497","103.231558691469","85.9191789608724","81.0570878768441"
"39922","casent0902518","125.151432469304","93.0059117780809","86.2974079126876"
"39923","casent0902508","106.213430282293","95.9841745081266","92.8524379811805"
"39924","casent0902487","117.623415811708","97.4459867229934","94.1339770669885"
"39925","casent0902510","99.1578947368421","92.7795726941115","94.4679520583637"
"39926","casent0902511","80.3353319057816","75.9837259100642","71.7327623126338"
"39927","casent0902488","114.019696969697","93.4526515151515","83.3098484848485"
"39928","casent0902522","140.013914095584","104.701754385965","83.9951603145796"
"39929","casent0902502","89.9416884247171","77.1897302001741","79.9582245430809"
"39930","casent0902513","86.291364902507","79.8373259052925","78.31643454039"
"39931","casent0902577","118.885061171925","91.7936252414681","83.8518995492595"
"39932","casent0902524","139.894912030433","105.535425582501","81.6714217784118"
"39933","casent0902543","198.053817271589","159.280976220275","110.029411764706"
"39934","casent0902553","112.152380952381","98.8692063492064","90.1377777777778"
"39935","casent0902581","114.172235722965","96.2575941676792","88.0267314702309"
"39936","casent0902588","99.375392341494","74.7564344005022","70.6227244193346"
"39937","casent0902596","117.592375366569","104.820276497696","100.535400083787"
"39938","casent0902638","95.2900763358779","81.647582697201","72.2814885496183"
"39939","casent0902603","73.5456448911223","64.998743718593","60.89405360134"
"39940","casent0902647","170.119608714984","114.340151178301","79.325922632281"
"39941","casent0902584","126.429447852761","110.944785276074","110.383435582822"
"39942","casent0902618","78.0867269984917","68.8408748114631","63.2741327300151"
"39943","casent0902609","108.63841138115","87.3378778897451","83.5678719620628"
"39944","casent0902607","76.039837398374","61.5113821138211","54.2528455284553"
"39945","casent0902687","178.168363883232","133.107942973523","76.7101154107264"
